Year,Month,Division,rolling_avg_goal_diff
2024,9,F1,0.3544121773288438
2024,10,F1,0.23095538720538702
2024,11,F1,0.2260678016726402
2024,12,F1,0.23739026544075612
2025,1,F1,0.3577606358111265
2025,2,F1,0.401368760064412
2025,3,F1,0.10820105820105798
2025,4,F1,0.07116402116402094
2025,5,F1,0.15141093474426787
2008,1,G1,0.4375
2008,2,G1,0.48541666666666666
2008,3,G1,0.5378968253968254
2008,4,G1,0.5726190476190477
2008,8,G1,0.5198412698412699
2008,9,G1,0.37801932367149754
2008,10,G1,0.27746376811594203
2008,11,G1,0.2691304347826087
2008,12,G1,0.2383333333333333
2009,1,G1,0.39362745098039215
2009,2,G1,0.4183749257278669
2009,3,G1,0.44567377630257954
2009,4,G1,0.2937129919888541
2009,8,G1,0.10467980295566504
2009,9,G1,0.16391941391941392
2009,10,G1,0.2657712657712658
2009,11,G1,0.48005698005698005
2009,12,G1,0.4985185185185185
2010,1,G1,0.48
2010,2,G1,0.26125
2010,3,G1,0.3229166666666667
2010,4,G1,0.28125
2010,8,G1,0.375
2010,9,G1,0.36111111111111116
2010,10,G1,0.2569444444444445
2010,11,G1,0.3298611111111111
2010,12,G1,0.2881944444444444
2011,1,G1,0.28402777777777777
2011,2,G1,0.21245519713261649
2011,3,G1,0.3796774193548387
2011,4,G1,0.5991218637992831
2012,8,G1,0.445
2012,9,G1,0.3805555555555556
2012,10,G1,0.11777777777777781
2012,11,G1,0.4580555555555556
2012,12,G1,0.3275
2013,1,G1,0.4583333333333333
2013,2,G1,0.3645833333333333
2013,3,G1,0.2933467741935484
2013,4,G1,0.3891801075268817
2013,8,G1,0.5236047107014848
2013,9,G1,0.6213564213564213
2013,10,G1,0.5448132114798782
2013,11,G1,0.49719416386083054
2013,12,G1,0.5282186948853616
2014,1,G1,0.5806878306878307
2014,2,G1,0.514021164021164
2014,3,G1,0.5660493827160494
2014,4,G1,0.7419753086419755
2014,8,G1,0.7432824981844589
2014,9,G1,0.7230003112356055
2014,10,G1,0.5378151260504201
2014,11,G1,0.5044091710758377
2014,12,G1,0.4308641975308642
2015,1,G1,0.43441029682164434
2015,2,G1,0.5490487447934257
2015,3,G1,0.6368794326241135
2015,4,G1,0.742528735632184
