Year,Division,avg_goal_diff,match_count,global_avg_goal_diff
2022,F1,0.2556818181818182,352,0.2711670480549199
2022,G1,0.2536231884057971,138,0.2711670480549199
2022,I1,0.2404692082111437,341,0.2711670480549199
2022,SP1,0.3160919540229885,348,0.2711670480549199
2023,E1,0.27256317689530685,554,0.30509444762449917
2023,F1,0.30294906166219837,373,0.30509444762449917
2023,I1,0.24634146341463414,410,0.30509444762449917
2023,SP1,0.4097560975609756,410,0.30509444762449917
2024,E1,0.3843283582089552,536,0.2669962917181706
2024,F1,0.13541666666666666,288,0.2669962917181706
2024,G1,0.22857142857142856,35,0.2669962917181706
2024,I1,0.13756613756613756,378,0.2669962917181706
2024,SP1,0.3333333333333333,381,0.2669962917181706
2025,E1,0.36466165413533835,266,0.24008350730688935
2025,F1,0.2,170,0.24008350730688935
2025,G1,0.17355371900826447,121,0.24008350730688935
